CustomerID,Churn,Recency,Frequency,TotalSpent,AvgOrderValue,UniqueProducts,TotalItems,AvgDaysBetweenPurchases,AvgBasketSize,StdBasketSize,MaxBasketSize,PreferredDay,PreferredHour,CountryDiversity,CustomerLifetimeDays,PurchaseVelocity,Purchases_Last30Days,Purchases_Last60Days,Purchases_Last90Days,ProductDiversityScore,TotalUniqueProducts,AvgPricePreference,StdPricePreference,MinPrice,MaxPrice,AvgQuantityPerOrder,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,CustomerSegment
16384,0,33,1,302.75,15.93421052631579,19,189,0.0,189.0,54.98679368175796,189,2,14,1,0,1.0,0.0,1.0,1.0,1.0,19,2.2,1.6291613384397097,0.65,6.75,189.0,3,1,2,6,Potential
16385,0,74,1,100.31,4.559545454545455,22,63,0.0,63.0,54.98679368175796,63,3,12,1,0,1.0,0.0,0.0,1.0,1.0,22,1.6086363636363636,1.2241510000795126,0.29,5.95,63.0,2,1,1,4,At Risk
16387,0,81,1,130.24,21.706666666666667,6,64,0.0,64.0,54.98679368175796,64,3,12,1,0,1.0,0.0,0.0,1.0,1.0,6,3.081666666666667,1.9108157071435925,1.25,5.95,64.0,2,1,1,4,At Risk
16388,1,96,1,186.05,14.311538461538463,13,83,0.0,83.0,54.98679368175796,83,2,10,1,0,1.0,0.0,0.0,0.0,1.0,13,2.869230769230769,1.6767451681678882,0.85,5.95,83.0,1,1,1,3,Lost
16390,0,122,1,131.7,16.4625,8,50,0.0,50.0,54.98679368175796,50,4,15,1,0,1.0,0.0,0.0,0.0,1.0,8,4.2125,2.395196085023998,1.25,6.75,50.0,1,1,1,3,Lost
16391,0,4,1,145.88,2.6523636363636363,54,117,0.0,117.0,54.98679368175796,117,3,11,1,0,1.0,1.0,1.0,1.0,0.9818181818181818,54,1.6965454545454546,1.3328307638698342,0.38,7.49,117.0,4,1,1,6,Potential
16392,0,4,1,175.29,5.654516129032258,31,129,0.0,129.0,54.98679368175796,129,3,11,1,0,1.0,1.0,1.0,1.0,1.0,31,1.9183870967741936,1.6100209041586873,0.42,7.49,129.0,4,1,1,6,Potential
16393,0,61,3,843.72,4.1768316831683165,168,526,0.5920398009950248,175.33333333333334,105.50987315570677,267,1,12,1,119,0.025,0.0,0.0,1.0,0.8316831683168316,168,1.9825247524752476,1.3018865231980719,0.29,6.75,175.33333333333334,2,3,4,9,Loyal
16395,0,173,2,216.01,4.500208333333333,47,165,0.06382978723404255,82.5,113.84419177103415,163,6,12,1,3,0.5,0.0,0.0,0.0,0.9791666666666666,47,1.9402083333333333,1.466807924572489,0.21,5.95,82.5,1,2,2,5,At Risk
16397,1,71,1,20.38,4.076,5,32,0.0,32.0,54.98679368175796,32,6,15,1,0,1.0,0.0,0.0,1.0,1.0,5,1.268,1.1578514585213424,0.29,2.95,32.0,2,1,1,4,At Risk
16400,0,14,4,1195.07,8.299097222222223,119,721,1.1118881118881119,180.25,57.8352545310096,236,0,15,1,160,0.024844720496894408,1.0,2.0,3.0,0.8263888888888888,119,2.262916666666667,1.3672502520563858,0.55,6.75,180.25,4,4,4,12,Champions
16406,0,96,1,159.25,3.5388888888888888,44,74,0.0,74.0,54.98679368175796,74,2,11,1,0,1.0,0.0,0.0,0.0,0.9777777777777777,44,2.378,1.479156086176414,0.42,5.95,74.0,1,1,1,3,Lost
16408,1,34,1,231.93,5.154,45,227,0.0,227.0,54.98679368175796,227,1,14,1,0,1.0,0.0,1.0,1.0,1.0,45,1.4766666666666668,1.1586865604875833,0.21,5.95,227.0,3,1,2,6,Potential
16409,0,43,3,1009.74,4.631834862385321,144,619,0.5714285714285714,206.33333333333334,36.2537354397217,248,6,15,1,125,0.023809523809523808,0.0,1.0,1.0,0.6605504587155964,144,2.258165137614679,1.769008504165899,0.19,7.49,206.33333333333334,3,3,4,10,Champions
16410,1,177,1,25.200000000000003,25.200000000000003,1,12,0.38686131386861317,12.0,54.98679368175796,12,5,14,1,0,1.0,0.0,0.0,0.0,1.0,1,2.1,1.5993550116224886,2.1,2.1,12.0,1,1,1,3,Lost
16412,0,52,2,135.59,4.8425,21,65,2.3333333333333335,32.5,14.849242404917497,43,4,11,1,63,0.03125,0.0,1.0,1.0,0.75,21,2.005,0.8999362117312455,0.85,3.75,32.5,2,2,1,5,At Risk
